id,platform,content_type,url,creator,creator_avg_views,views,multiplier,hook,topic,format,length,cta,why_it_worked,verified
1,youtube,youtube_long_form,https://www.youtube.com/watch?v=LVgzOyHVcj4,TEDx Talks,251,37114773,147867.62,"No Sex Marriage – Masturbation, Loneliness, Cheating and Shame | Maureen McGrath | TEDxStanleyPark",Love? Marriage? Sex? Can a married couple have all three? Perhaps it’s unrealistic since so many marriages end in divorce today. Why is that,talking-head,1312,,,true
2,youtube,youtube_long_form,https://www.youtube.com/watch?v=Ep2MAx95m20,TEDx Talks,251,9731021,38769.01,The sex-starved marriage | Michele Weiner-Davis | TEDxCU,Never miss a talk! SUBSCRIBE to the TEDx channel: http://bit.ly/1FAg8hB,talking-head,1055,,,true
3,youtube,youtube_long_form,https://www.youtube.com/watch?v=fb_ntMcmZKE,"Sarah Daccarett, MD",257,9425883,36676.59,You CAN feel better. Try a hormone therapy that actually works.,"Women keep getting told that feeling tired, anxious or foggy is ""just a normal part of aging"". That poor sleep quality, declining libido and",short-video,127,,,true
4,youtube,youtube_long_form,https://www.youtube.com/watch?v=gh5VhaicC6g,TEDx Talks,251,7882674,31405.08,Skills for Healthy Romantic Relationships | Joanne Davila | TEDxSBU,"People may know what a healthy romantic relationship looks like, but most don’t know how to get one. Psychologist and researcher Joanne Davi",talking-head,953,,,true
5,youtube,youtube_long_form,https://www.youtube.com/watch?v=W6BYAjhjt38,TEDx Talks,251,6514421,25953.87,How to Get Over The End of a Relationship | Antonio Pascual-Leone | TEDxUniversityofWindsor,Have you had an important relationship end and felt a bit stuck on how to move on? Clinical psychologist Dr. Antonio Pascual-Leone calls thi,talking-head,1078,,,true
6,youtube,youtube_long_form,https://www.youtube.com/watch?v=o4Y5Mr8rZ9A,TEDx Talks,251,3747520,14930.36,4 Habits of ALL Successful Relationships | Dr. Andrea & Jonathan Taylor-Cummings | TEDxSquareMile,"ALL relationships face a similar set of hurdles. We all need to be equipped to get over the hurdles, so that our relationships don’t just su",talking-head,1003,,,true
7,youtube,youtube_long_form,https://www.youtube.com/watch?v=5TUxH2izTGI,TEDx Talks,251,3305986,13171.26,Infidelity: to stay or go…? | Lucy Beresford | TEDxFolkestone,We assume that ending a relationship after betrayal is the best course of action. Yet relationship expert and broadcaster Lucy Beresford pas,talking-head,908,,,true
8,youtube,youtube_long_form,https://www.youtube.com/watch?v=sabsmF124VE,Barbara Hannah Grufferman,80,687449,8593.11,#1 SEX TOY FOR WOMEN OVER 60 (according to a sex expert!),"Watch this super short snippet from a recent episode of AGE BETTER podcast, where I chat with sex expert Joan Price. You can watch the full ",short-video,251,,,true
9,youtube,youtube_long_form,https://www.youtube.com/watch?v=AMlkKbA5JVw,Social Psychology Masters,642,4535236,7064.23,10 Signs Your Partner Doesn’t Love You (Even If You Think They Do),10 Signs Your Partner Doesn’t Love You (Even If You Think They Do),short-video,521,,,true
10,youtube,youtube_long_form,https://www.youtube.com/watch?v=djqOPR2_qT8,The Skin Deep,2043,5486089,2685.31,Exes Meet For The First Time After 3 Years | {THE AND} Krystal & Steven (Part 1),Have more meaningful conversations with {THE AND} relationship card game: http://www.theskindeep.com/shop,talking-head,694,,,true
11,youtube,youtube_long_form,https://www.youtube.com/watch?v=-RPqdoiOp-4,Masculine Confidence Framework,210,483523,2302.49,Sexless Marriage - 4 Signs She Won't Change,** Download FREE Guide: https://masculineconfidenceframework.com/learn-how-high-achieving-men-in-their-40s-can-restore-passionate-intimacy-w,short-video,419,,,true
